Bald,Pointy_Nose,hair_color,Young,Straight_Hair,Attractive,Chubby,Oval_Face,Male,Narrow_Eyes,Rosy_Cheeks,High_Cheekbones,0
0,0,0,0,0,0,0,0,1,1,0,0,650
0,0,1,1,0,0,0,1,1,0,0,1,650
0,1,0,1,0,0,0,0,0,0,0,1,634
0,1,1,1,0,0,0,0,1,0,0,0,625
0,0,0,0,0,0,0,1,1,0,0,0,620
0,1,0,1,1,1,0,1,0,0,0,1,619
0,0,1,1,0,1,0,1,1,0,0,0,612
0,1,4,1,0,1,0,1,0,0,1,1,612
0,0,4,1,1,0,0,0,1,0,0,0,596
0,0,1,1,0,1,0,0,1,0,0,1,593
0,1,4,1,0,0,0,0,0,0,0,0,587
0,0,0,0,0,1,0,0,0,0,0,1,586
0,1,0,0,0,0,0,0,0,0,0,1,581
0,0,1,1,0,0,0,1,0,0,0,1,580
0,0,1,1,1,1,0,0,0,0,0,0,575
0,0,0,1,0,1,0,0,1,0,0,1,573
0,0,0,1,0,1,0,0,0,0,1,1,567
0,0,0,1,1,1,0,1,0,0,0,0,567
0,0,3,0,0,0,0,0,1,0,0,1,563
0,0,4,1,1,1,0,0,0,0,0,0,545
0,0,0,1,0,0,0,0,0,1,0,1,535
0,0,4,1,1,1,0,0,1,0,0,0,512
0,0,3,0,0,0,1,0,1,0,0,0,508
0,0,0,0,0,0,1,0,1,0,0,1,501
0,0,1,1,0,1,0,1,1,0,0,1,500
0,1,4,1,0,1,0,0,1,0,0,0,494
0,0,1,1,1,1,0,0,1,0,0,1,492
0,0,4,1,1,1,0,1,0,0,0,1,479
1,0,0,0,0,0,0,0,1,0,0,0,474
0,0,0,1,1,0,0,0,0,0,0,1,466
0,0,1,1,1,1,0,0,0,0,0,1,461
0,0,1,1,1,1,0,1,1,0,0,0,458
0,0,4,0,0,0,0,0,0,0,0,1,453
0,1,0,0,0,1,0,0,0,0,0,1,449
0,0,4,1,0,1,0,1,1,0,0,0,440
0,1,1,1,1,1,0,0,1,0,0,0,434
0,0,1,1,1,0,0,0,1,0,0,1,432
0,0,4,1,1,1,0,0,0,0,0,1,427
0,1,1,1,0,1,0,1,0,0,1,1,414
0,1,1,1,0,1,0,1,0,0,0,0,414
0,0,4,1,0,1,0,1,0,0,1,1,411
0,1,4,1,0,1,0,0,0,0,1,1,410
0,0,4,1,0,1,0,0,1,0,0,1,408
0,0,0,1,0,1,0,1,1,0,0,1,405
0,0,0,0,0,0,0,1,1,0,0,1,400
0,0,1,0,1,0,0,0,1,0,0,0,396
0,1,4,1,0,0,0,0,1,0,0,0,396
0,1,0,1,0,1,0,0,0,1,0,0,390
0,1,1,1,0,0,0,0,0,0,0,0,388
0,0,3,0,0,0,1,0,1,0,0,1,383
0,1,0,1,1,1,0,1,0,0,1,1,371
0,0,4,1,0,0,0,0,1,0,0,1,369
0,0,4,1,0,0,0,1,0,0,0,1,368
0,0,3,0,1,0,0,0,1,0,0,0,365
0,0,4,1,1,0,0,0,0,0,0,0,357
0,1,0,1,0,1,0,0,0,1,0,1,356
0,0,1,0,0,0,0,0,1,0,0,1,352
0,1,0,1,1,1,0,0,1,0,0,0,344
0,1,0,1,1,0,0,0,0,0,0,0,341
0,1,0,0,0,0,0,0,0,0,0,0,340
0,1,0,1,1,1,0,1,0,0,0,0,334
0,0,0,0,0,0,0,1,0,0,0,1,334
0,0,1,1,1,0,0,0,0,0,0,0,334
0,0,4,1,0,0,0,1,1,0,0,0,333
0,0,1,1,0,0,0,0,1,1,0,0,329
0,0,4,1,1,1,0,1,0,0,0,0,320
0,0,1,1,1,1,0,1,0,0,0,0,309
0,0,4,1,0,1,0,0,0,1,0,1,308
0,0,1,0,0,0,1,0,1,0,0,0,307
0,0,1,1,1,0,0,1,1,0,0,0,306
0,0,0,0,0,0,0,0,0,1,0,1,305
0,0,1,1,1,1,0,1,1,0,0,1,305
