Straight_Hair,Big_Lips,Young,Bags_Under_Eyes,No_Beard,Male,Attractive,Oval_Face,Rosy_Cheeks,Mouth_Slightly_Open,High_Cheekbones,onehot,count
0,0,1,1,1,0,1,1,0,1,1,00111011011,473
1,1,1,0,1,0,1,0,0,1,0,11101010010,473
0,1,1,0,1,0,0,0,0,0,1,01101000001,471
0,0,1,0,1,1,0,1,0,1,0,00101101010,470
0,0,1,1,1,1,1,0,0,1,1,00111110011,466
0,1,1,0,0,1,0,0,0,1,0,01100100010,457
0,0,0,1,0,1,0,0,0,1,1,00010100011,449
1,0,1,1,1,1,1,0,0,1,1,10111110011,424
0,0,1,1,1,1,0,0,0,1,0,00111100010,415
1,0,0,0,1,1,0,0,0,1,0,10001100010,413
1,0,0,0,1,1,0,0,0,1,1,10001100011,409
0,0,0,0,1,1,0,1,0,1,1,00001101011,405
1,0,1,1,1,1,0,0,0,0,0,10111100000,404
0,0,1,0,1,0,1,0,1,0,1,00101010101,401
0,0,1,1,1,0,1,0,0,0,0,00111010000,400
0,0,0,1,1,1,0,1,0,1,1,00011101011,399
0,0,0,0,0,1,0,1,0,0,0,00000101000,395
1,0,1,1,1,1,1,0,0,0,0,10111110000,394
1,0,1,0,1,0,1,1,0,1,0,10101011010,385
0,0,0,0,1,0,1,0,0,0,1,00001010001,354
0,1,0,0,1,0,0,0,0,0,0,01001000000,352
1,0,1,0,1,1,0,0,0,1,1,10101100011,350
0,1,1,0,0,1,0,1,0,1,1,01100101011,350
0,0,1,0,1,1,0,0,0,0,1,00101100001,347
0,1,1,0,1,0,1,1,0,1,0,01101011010,343
0,1,1,0,0,1,0,0,0,1,1,01100100011,341
0,1,1,1,0,1,0,0,0,1,1,01110100011,339
0,0,1,0,0,1,0,0,0,1,1,00100100011,336
1,1,1,0,1,0,1,0,0,0,1,11101010001,333
0,1,1,0,1,0,1,1,1,0,1,01101011101,333
1,0,1,0,1,0,0,1,0,1,1,10101001011,330
0,0,1,1,1,0,0,0,0,0,0,00111000000,328
1,0,1,0,1,1,1,1,0,1,1,10101111011,324
0,1,0,0,1,0,1,0,0,1,1,01001010011,321
1,1,1,0,1,0,1,1,0,1,1,11101011011,316
1,0,1,1,1,1,0,0,0,1,1,10111100011,314
0,0,1,1,1,0,1,0,0,0,1,00111010001,312
1,0,1,0,1,1,0,1,0,0,0,10101101000,312
0,0,1,1,0,1,0,0,0,1,0,00110100010,311
0,0,0,0,1,1,0,1,0,1,0,00001101010,310
1,1,1,0,1,0,0,0,0,1,1,11101000011,305
1,0,1,1,0,1,1,0,0,0,0,10110110000,303
1,0,1,0,1,1,1,0,0,1,0,10101110010,301
0,1,1,0,1,1,0,0,0,1,0,01101100010,301
