,Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,onehot,count
62,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,00001000000011100,576
63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,00000000010000100,566
64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,00010000000001100,562
65,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10100000000001100,561
66,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,10000100000101011,550
67,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,01000000000101011,546
68,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10000000100001100,531
69,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,10000100010101011,524
70,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,11000000010101011,522
71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,00000000010001000,513
72,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,00000100100001011,505
73,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,01000000010101011,501
74,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,00000100000011100,499
75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10000000000001001,494
76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10000000100001000,465
77,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,00001000010001100,460
78,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,10000110100101011,454
79,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,10010000110001011,453
80,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,01000000000010100,433
81,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,01101000000001100,426
82,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,00000100110001011,424
83,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11100000000001100,419
84,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,10000100100001011,417
85,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,01010000000001011,416
86,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,10000100110001011,411
87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,00000000100000100,410
88,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,01000000010001100,405
89,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10000000100001001,401
90,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10000000010001100,399
91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,00001000000000100,390
92,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,00010000110001011,389
93,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10000010000001000,385
94,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11010000000001011,380
95,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11000000000010100,377
96,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,01000100000101011,370
97,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,00010000010001011,368
98,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,10001000000011100,363
99,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10000010000001100,361
100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,00100000000011100,359
101,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,00101000000011100,358
102,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,00000000000101001,356
103,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,11000100000101011,356
104,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,10010000010001011,354
105,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,00001000100001100,352
106,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,11001000000001100,348
107,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,00010000000001000,348
108,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,00000100000001000,343
109,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10000000010001000,337
110,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,00001000000010100,334
111,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,10000110110101011,334
112,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,00000000010010100,331
113,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10000001000010100,331
114,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,00000000000101000,330
115,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,01010000000001100,328
116,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,10000100100111011,326
117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,01000000000001001,321
118,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,10000000001010100,317
119,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,10101000000001100,314
120,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,00000000100101001,312
121,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,01000100010101011,312
122,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,11000100010101011,311
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000000000000,308
124,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,00010000100001100,307
125,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,01001000010001100,307
126,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10100000000011100,305
127,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11000000000001001,304
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000,304
129,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,00000100010001011,302
