Narrow_Eyes,Straight_Hair,Pale_Skin,Mouth_Slightly_Open,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,0
0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,595
0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,583
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,573
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,561
0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,554
0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,553
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,553
0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,548
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,534
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,523
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,522
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,521
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,511
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,500
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,497
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,493
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,486
0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,486
0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,484
0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,474
0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,472
0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,444
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,443
0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,440
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,434
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,431
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,416
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410
0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,403
0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,387
0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,374
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,374
0,1,0,1,4,0,1,0,0,1,0,0,1,1,1,371
0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,366
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,361
0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,360
0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,345
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,345
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,344
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,344
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,342
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,342
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,338
1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,331
0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,329
1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,327
0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,324
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,323
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,320
0,1,0,0,4,0,1,0,0,1,0,0,1,1,1,320
0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,320
0,0,0,1,4,0,0,0,0,0,0,0,1,1,1,319
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,316
1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,314
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,311
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,308
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,308
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,306
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,305
0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,304
0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,304
0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,303
0,0,0,0,4,0,0,0,0,1,1,0,1,0,1,302
0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,301
