hair_color,Straight_Hair,Big_Lips,Young,Bags_Under_Eyes,No_Beard,Male,Attractive,Oval_Face,Rosy_Cheeks,Mouth_Slightly_Open,High_Cheekbones,0
0,0,0,1,1,1,1,0,0,0,0,0,481
4,0,1,1,0,1,0,0,0,0,0,0,474
4,0,0,1,0,1,1,1,0,0,0,0,471
0,0,1,1,1,1,0,1,0,0,1,1,471
0,0,1,1,0,1,0,1,1,0,0,0,460
0,0,0,1,1,0,1,0,0,0,0,0,458
0,0,0,0,0,1,1,0,0,0,1,1,455
4,0,0,1,0,1,0,1,1,0,1,0,453
0,0,0,1,0,1,1,0,0,0,1,1,449
0,0,0,0,0,1,0,1,0,0,1,1,448
0,0,0,0,1,1,0,0,0,0,1,1,445
4,1,0,1,0,1,0,1,0,0,0,0,442
0,0,0,0,1,1,1,0,0,0,1,0,440
4,0,1,1,0,1,0,1,0,0,1,0,436
0,0,0,1,0,1,0,0,1,0,0,0,429
1,0,0,1,0,1,0,0,0,0,1,1,428
0,0,0,0,0,1,0,0,0,0,1,0,413
4,0,0,1,0,1,0,0,0,0,1,1,407
4,0,0,1,0,1,0,0,0,0,1,0,406
0,1,1,1,0,1,0,1,0,0,1,1,405
1,1,0,1,0,1,0,1,0,0,0,0,405
0,0,0,1,0,1,0,1,1,1,0,1,405
4,0,1,1,0,1,0,1,0,0,0,1,400
0,1,0,1,0,1,0,1,1,0,0,1,399
4,1,0,1,0,1,0,1,1,0,1,1,387
1,0,0,1,0,1,1,0,0,0,1,0,379
4,0,0,1,0,0,1,0,0,0,0,0,378
0,0,0,0,0,1,0,1,1,0,1,1,377
0,0,0,1,1,1,0,0,0,0,1,1,373
0,0,0,1,0,1,1,0,1,0,0,0,372
0,1,0,1,0,1,1,1,0,0,0,0,371
3,0,0,0,1,1,1,0,0,0,1,0,370
0,0,1,1,0,0,1,0,0,0,0,0,369
0,0,1,0,0,1,0,0,0,0,1,1,365
0,0,0,1,1,1,1,0,0,0,1,1,363
0,0,0,0,0,1,0,0,0,0,0,1,357
0,0,0,1,0,1,0,0,1,0,1,0,354
1,1,0,1,0,0,1,1,0,0,0,0,353
1,0,1,1,0,1,0,1,0,0,0,1,352
0,1,0,1,0,1,0,1,1,1,1,1,350
1,0,0,1,0,1,0,0,1,0,1,1,349
4,0,0,1,0,0,1,1,0,0,0,0,348
4,0,0,1,0,1,1,0,0,0,1,0,342
1,0,0,1,0,1,0,1,1,1,1,1,338
1,0,1,1,0,1,0,1,0,0,1,0,334
4,0,0,1,1,1,0,1,0,0,1,1,332
1,1,0,1,0,0,1,0,0,0,0,0,330
0,0,0,0,1,1,1,0,0,0,0,1,329
0,0,0,1,0,1,1,1,1,0,0,0,329
1,0,1,1,0,0,1,0,0,0,0,0,323
3,0,0,0,0,1,1,0,0,0,1,0,322
3,0,0,0,0,1,1,0,0,0,1,1,318
1,0,0,1,0,1,0,0,0,0,1,0,316
1,0,0,0,0,0,1,0,0,0,0,0,315
0,0,0,0,0,1,0,0,1,0,1,1,314
0,0,0,0,1,0,1,0,0,0,1,0,310
0,1,0,1,0,1,0,0,0,0,1,0,303
0,1,0,1,0,1,0,1,0,0,1,0,302
0,0,0,0,0,1,1,0,1,0,0,0,301
1,1,1,1,0,1,0,1,0,0,0,0,301
