Bald,Pointy_Nose,Young,Straight_Hair,Attractive,Chubby,Oval_Face,Male,Narrow_Eyes,Rosy_Cheeks,High_Cheekbones,onehot,count
0,1,1,1,1,0,0,0,0,0,1,01111000001,1126
0,1,1,1,1,0,1,0,0,0,1,01111010001,1102
0,0,0,0,0,0,1,1,0,0,0,00000011000,1095
0,0,1,0,1,0,0,0,1,0,0,00101000100,1094
0,0,1,0,0,0,0,0,1,0,1,00100000101,1005
0,1,1,1,1,0,0,1,0,0,0,01111001000,998
0,0,0,0,0,0,0,1,1,0,0,00000001100,995
0,1,0,0,0,0,0,0,0,0,1,01000000001,940
0,0,1,0,1,0,0,0,0,1,1,00101000011,919
0,0,1,1,1,0,0,1,0,0,1,00111001001,912
0,0,1,1,1,0,1,1,0,0,0,00111011000,907
0,0,0,0,1,0,0,0,0,0,1,00001000001,898
0,0,1,1,0,0,0,0,0,0,1,00110000001,895
0,0,0,1,0,0,0,1,0,0,1,00010001001,819
0,0,1,1,0,0,0,1,0,0,1,00110001001,781
0,0,0,0,0,0,1,1,0,0,1,00000011001,774
0,1,0,0,1,0,0,0,0,0,1,01001000001,690
1,0,0,0,0,0,0,1,0,0,0,10000001000,676
0,1,1,0,1,0,0,0,1,0,1,01101000101,650
0,1,1,1,0,0,0,1,0,0,0,01110001000,648
0,0,0,0,0,0,1,0,0,0,1,00000010001,646
0,0,1,1,1,0,1,1,0,0,1,00111011001,625
0,0,1,1,0,0,1,1,0,0,0,00110011000,624
0,1,1,1,1,0,1,0,0,0,0,01111010000,623
0,1,1,0,1,0,0,0,1,0,0,01101000100,620
0,1,1,1,1,0,1,0,0,1,1,01111010011,563
0,0,1,0,0,0,0,1,1,0,1,00100001101,554
0,0,1,0,0,1,0,1,0,0,0,00100101000,548
0,1,1,1,0,0,0,0,0,0,0,01110000000,545
0,0,0,0,1,0,0,1,0,0,0,00001001000,529
0,0,0,0,1,0,1,0,0,0,1,00001010001,524
0,1,0,0,0,0,0,0,0,0,0,01000000000,508
0,0,0,0,0,0,0,0,1,0,1,00000000101,480
0,0,0,0,0,0,0,1,1,0,1,00000001101,465
0,1,1,0,1,0,0,1,0,0,1,01101001001,462
0,1,0,0,0,0,0,1,0,0,1,01000001001,461
0,0,1,0,1,0,1,0,1,0,1,00101010101,454
0,0,0,1,0,1,0,1,0,0,1,00010101001,440
0,0,0,1,0,1,0,1,0,0,0,00010101000,438
0,0,1,0,0,1,0,1,0,0,1,00100101001,427
0,0,0,0,0,1,1,1,0,0,1,00000111001,419
0,0,1,1,0,0,1,0,0,0,1,00110010001,417
0,0,1,0,1,0,0,1,1,0,0,00101001100,414
0,1,1,0,1,0,1,1,0,0,0,01101011000,393
1,0,0,0,0,1,0,1,0,0,0,10000101000,391
0,1,1,0,0,0,0,0,1,0,0,01100000100,390
0,0,1,0,1,0,0,1,1,0,1,00101001101,378
0,0,1,1,0,0,0,1,1,0,0,00110001100,376
1,0,0,0,0,1,0,1,0,0,1,10000101001,368
0,1,1,0,0,0,1,0,0,0,1,01100010001,360
0,1,0,0,1,0,1,0,0,0,1,01001010001,355
0,0,1,1,1,0,1,0,0,1,1,00111010011,352
0,1,0,1,0,0,0,1,0,0,0,01010001000,348
0,0,0,0,0,0,0,0,0,1,1,00000000011,345
0,0,1,1,0,0,1,1,0,0,1,00110011001,342
0,0,0,0,1,0,0,0,0,0,0,00001000000,342
0,0,1,1,1,0,0,0,1,0,1,00111000101,342
0,0,1,1,0,0,1,0,0,0,0,00110010000,341
0,0,0,0,0,1,0,1,1,0,0,00000101100,341
0,0,1,0,0,1,1,1,0,0,1,00100111001,339
0,0,0,0,0,1,0,1,1,0,1,00000101101,339
0,0,0,0,0,1,1,1,0,0,0,00000111000,337
0,1,1,1,1,0,0,0,0,1,1,01111000011,325
0,1,1,0,0,0,0,1,0,0,1,01100001001,321
0,0,0,1,0,0,1,1,0,0,0,00010011000,314
0,0,1,1,1,0,0,0,1,0,0,00111000100,310
0,1,0,0,1,0,0,0,0,1,1,01001000011,308
0,0,1,1,1,0,0,1,1,0,1,00111001101,303
