Narrow_Eyes,Straight_Hair,Pale_Skin,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,1,0,0,0,0,0,0,1,0,0,1,0,1,01000000100101,560
0,0,0,4,0,0,0,1,0,0,0,1,0,0,00040001000100,550
0,0,0,0,0,0,0,0,1,0,1,0,0,0,00000000101000,541
0,1,0,0,0,1,0,0,0,0,0,1,0,0,01000100000100,539
0,0,0,0,0,1,1,1,0,0,0,0,0,0,00000111000000,527
0,0,0,0,0,0,0,0,0,1,0,1,0,0,00000000010100,526
0,0,0,1,0,0,0,0,0,1,0,1,1,1,00010000010111,504
0,0,0,0,0,0,0,0,0,0,1,1,0,0,00000000001100,503
0,1,0,1,0,0,0,0,1,1,0,1,1,1,01010000110111,501
0,0,0,1,0,0,1,1,0,0,0,0,0,0,00010011000000,496
0,1,0,4,0,0,0,0,1,0,0,1,0,0,01040000100100,495
0,1,0,4,0,0,0,0,1,0,0,1,1,1,01040000100111,492
0,0,0,4,0,0,0,0,0,0,0,1,0,1,00040000000101,485
1,0,0,0,0,0,0,0,1,0,0,1,1,1,10000000100111,484
0,0,0,0,0,0,0,1,1,0,0,1,0,0,00000001100100,483
0,0,0,0,0,0,0,1,0,0,1,1,0,0,00000001001100,481
0,1,0,4,0,0,0,0,1,1,0,1,1,1,01040000110111,481
0,0,0,1,0,0,0,1,0,0,1,0,0,0,00010001001000,477
0,0,0,1,0,0,0,0,0,0,1,0,0,0,00010000001000,473
0,0,0,1,0,0,0,0,1,0,1,0,0,0,00010000101000,469
1,0,0,0,0,0,0,0,0,1,0,1,1,1,10000000010111,457
0,1,0,1,0,1,0,0,1,0,0,1,0,0,01010100100100,457
0,0,0,0,0,1,0,0,1,0,0,1,0,1,00000100100101,454
0,0,1,0,0,0,0,0,1,0,0,1,1,1,00100000100111,442
0,1,0,1,0,1,0,0,0,0,0,1,0,0,01010100000100,437
0,0,0,4,0,0,0,0,1,1,0,1,0,1,00040000110101,436
0,0,0,0,0,0,0,1,0,1,0,1,1,1,00000001010111,434
0,0,0,0,1,1,0,0,0,0,0,1,0,0,00001100000100,432
0,0,0,1,0,0,0,0,0,0,0,1,1,1,00010000000111,427
0,0,0,4,0,0,0,0,0,0,1,0,0,0,00040000001000,424
0,0,0,1,0,0,0,1,1,1,0,1,1,1,00010001110111,419
0,1,0,0,0,1,0,0,1,0,0,1,0,0,01000100100100,419
0,1,0,1,0,0,0,0,1,0,0,1,1,1,01010000100111,413
0,0,0,4,0,0,0,0,1,0,1,0,0,0,00040000101000,408
0,1,0,1,0,1,0,0,1,1,0,1,1,1,01010100110111,403
0,0,0,1,0,0,0,0,1,0,0,1,0,1,00010000100101,402
1,0,0,4,0,0,0,0,1,1,0,1,1,1,10040000110111,388
0,0,0,1,0,0,0,0,0,0,0,0,0,0,00010000000000,387
0,0,0,0,1,1,0,1,0,0,0,1,0,0,00001101000100,386
0,0,0,1,0,0,0,0,0,0,0,1,0,1,00010000000101,378
0,0,0,0,0,1,0,1,0,0,0,0,0,0,00000101000000,370
0,0,0,1,0,0,0,1,0,0,0,0,0,0,00010001000000,368
0,0,0,0,1,0,1,1,0,0,0,0,0,0,00001011000000,361
0,1,0,0,0,0,0,0,0,0,0,1,0,1,01000000000101,358
0,1,0,4,0,1,0,0,1,1,0,1,1,1,01040100110111,354
0,1,0,1,0,0,0,0,1,0,1,0,0,0,01010000101000,353
1,0,0,0,1,0,0,1,0,0,0,1,0,0,10001001000100,353
0,0,0,4,0,1,0,0,0,0,0,1,1,1,00040100000111,348
0,1,0,0,1,0,0,1,0,0,0,1,0,0,01001001000100,337
0,0,0,0,1,0,0,1,0,0,0,0,0,0,00001001000000,335
0,1,0,0,0,0,0,0,0,0,0,1,1,1,01000000000111,335
0,0,0,0,0,0,0,0,1,1,0,1,0,0,00000000110100,333
1,0,0,1,0,0,0,0,1,1,0,1,1,1,10010000110111,332
0,0,0,0,0,0,0,1,1,0,1,0,0,0,00000001101000,332
1,0,0,0,0,0,0,0,0,0,0,1,0,1,10000000000101,328
0,0,0,1,0,0,1,0,0,0,0,0,0,0,00010010000000,328
1,0,0,4,0,0,0,0,0,0,0,1,0,0,10040000000100,326
0,0,0,1,0,0,0,1,0,1,0,1,1,1,00010001010111,316
0,0,0,1,0,0,0,1,1,0,1,0,0,0,00010001101000,311
0,0,0,0,0,0,0,1,0,0,0,1,0,1,00000001000101,311
0,1,0,4,0,1,0,0,1,0,0,1,0,0,01040100100100,305
0,0,0,1,0,1,0,1,0,0,0,1,0,0,00010101000100,303
