Narrow_Eyes,Straight_Hair,Pale_Skin,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,0
0,0,0,4,0,0,0,0,0,0,1,0,0,0,424
0,0,0,1,0,0,0,1,1,1,0,1,1,1,419
0,1,0,0,0,1,0,0,1,0,0,1,0,0,419
0,1,0,1,0,0,0,0,1,0,0,1,1,1,413
0,0,0,4,0,0,0,0,1,0,1,0,0,0,408
0,1,0,1,0,1,0,0,1,1,0,1,1,1,403
0,0,0,1,0,0,0,0,1,0,0,1,0,1,402
1,0,0,4,0,0,0,0,1,1,0,1,1,1,388
0,0,0,1,0,0,0,0,0,0,0,0,0,0,387
0,0,0,0,1,1,0,1,0,0,0,1,0,0,386
0,0,0,1,0,0,0,0,0,0,0,1,0,1,378
0,0,0,0,0,1,0,1,0,0,0,0,0,0,370
0,0,0,1,0,0,0,1,0,0,0,0,0,0,368
0,0,0,0,1,0,1,1,0,0,0,0,0,0,361
0,1,0,0,0,0,0,0,0,0,0,1,0,1,358
0,1,0,4,0,1,0,0,1,1,0,1,1,1,354
0,1,0,1,0,0,0,0,1,0,1,0,0,0,353
1,0,0,0,1,0,0,1,0,0,0,1,0,0,353
0,0,0,4,0,1,0,0,0,0,0,1,1,1,348
0,1,0,0,1,0,0,1,0,0,0,1,0,0,337
0,0,0,0,1,0,0,1,0,0,0,0,0,0,335
0,1,0,0,0,0,0,0,0,0,0,1,1,1,335
0,0,0,0,0,0,0,0,1,1,0,1,0,0,333
1,0,0,1,0,0,0,0,1,1,0,1,1,1,332
0,0,0,0,0,0,0,1,1,0,1,0,0,0,332
1,0,0,0,0,0,0,0,0,0,0,1,0,1,328
0,0,0,1,0,0,1,0,0,0,0,0,0,0,328
1,0,0,4,0,0,0,0,0,0,0,1,0,0,326
0,0,0,1,0,0,0,1,0,1,0,1,1,1,316
0,0,0,1,0,0,0,1,1,0,1,0,0,0,311
0,0,0,0,0,0,0,1,0,0,0,1,0,1,311
0,1,0,4,0,1,0,0,1,0,0,1,0,0,305
0,0,0,1,0,1,0,1,0,0,0,1,0,0,303
