Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1138
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1128
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1081
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1080
0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1054
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1018
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,931
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,912
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,876
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,846
1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,835
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,819
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,805
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,763
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,735
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,731
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,726
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,722
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,693
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,680
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,679
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,672
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,671
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,670
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,669
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,660
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,653
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,630
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,622
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,614
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,603
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,600
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,589
0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,586
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,582
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,582
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,578
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,576
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,566
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,562
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,561
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,550
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,546
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,531
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,524
1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,522
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,513
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,505
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,501
0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,499
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,494
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,465
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,460
1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,454
1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,453
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,433
0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,426
0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,424
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,419
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,417
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,416
1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,411
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,410
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,405
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,401
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,399
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,390
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,389
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,385
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,380
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,377
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,370
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,368
1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,363
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,361
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,359
0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,358
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,356
1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,356
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,354
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,352
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,348
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,348
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,343
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,337
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,334
1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,334
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,331
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,331
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,330
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,328
1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,326
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,321
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,317
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,314
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,312
0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,312
1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,311
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,307
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,307
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,305
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,302
