Narrow_Eyes,Straight_Hair,Pale_Skin,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,1,0,0,0,0,0,1,1,1,0000100000111,1330
0,1,0,0,1,0,0,0,0,0,1,0,0,0100100000100,1237
0,0,0,0,0,0,1,1,1,0,1,1,1,0000001110111,1204
0,0,0,0,0,0,0,0,1,0,1,0,1,0000000010101,1187
0,1,0,0,1,0,0,1,0,0,1,0,0,0100100100100,1181
1,0,0,0,0,0,1,0,0,0,1,0,0,1000001000100,1108
0,0,0,0,0,0,1,1,0,0,1,0,0,0000001100100,1068
0,0,1,0,0,0,0,1,1,0,1,1,1,0010000110111,1048
0,0,0,0,0,0,0,0,0,1,1,0,0,0000000001100,967
0,0,0,0,1,0,0,1,0,0,1,0,1,0000100100101,964
0,0,0,0,0,0,0,0,1,0,1,0,0,0000000010100,944
0,1,0,0,0,0,0,1,0,0,1,0,1,0100000100101,943
0,0,0,0,0,0,1,0,1,0,1,1,1,0000001010111,883
0,0,0,0,0,0,1,0,0,1,1,0,0,0000001001100,841
1,0,0,0,0,0,0,1,0,0,1,1,1,1000000100111,837
0,0,0,0,1,1,1,0,0,0,0,0,0,0000111000000,813
0,1,0,0,0,0,0,1,0,1,0,0,0,0100000101000,808
0,0,0,0,0,0,1,1,0,1,0,0,0,0000001101000,779
1,0,0,0,0,0,0,0,1,0,1,1,1,1000000010111,711
0,0,0,0,0,0,0,1,1,0,1,0,0,0000000110100,661
0,0,1,0,0,0,0,1,0,0,1,1,1,0010000100111,657
0,0,0,0,1,0,1,1,1,0,1,1,1,0000101110111,612
0,0,0,1,1,0,0,0,0,0,1,0,0,0001100000100,609
0,1,0,0,0,0,0,0,0,0,1,0,1,0100000000101,608
0,0,0,0,0,0,0,1,0,1,1,0,0,0000000101100,579
0,0,0,0,1,0,0,1,0,1,0,0,0,0000100101000,576
1,1,0,0,0,0,0,0,0,0,1,0,0,1100000000100,560
0,1,0,0,0,0,0,0,0,1,0,0,0,0100000001000,557
0,1,0,0,0,0,0,0,0,0,1,1,1,0100000000111,547
0,0,0,0,1,0,0,0,1,0,1,1,1,0000100010111,538
0,0,0,0,0,1,0,0,0,1,0,0,0,0000010001000,535
0,0,0,1,0,1,1,0,0,0,0,0,0,0001011000000,530
1,0,0,0,1,0,0,1,0,0,1,1,1,1000100100111,529
0,0,0,0,1,0,1,0,0,0,0,0,0,0000101000000,529
0,0,0,1,1,0,1,0,0,0,1,0,0,0001101000100,529
1,0,0,0,0,0,0,0,0,0,1,0,1,1000000000101,526
0,0,0,0,0,1,1,0,0,1,0,0,0,0000011001000,515
1,0,0,0,0,0,0,1,0,0,1,0,0,1000000100100,509
0,1,0,0,0,0,1,1,0,0,1,0,0,0100001100100,499
0,1,0,0,0,0,0,0,1,0,1,1,1,0100000010111,490
0,0,0,0,0,0,1,0,0,0,1,0,1,0000001000101,475
1,0,0,0,1,0,0,1,1,0,1,1,1,1000100110111,469
0,0,0,0,1,1,0,0,0,0,0,0,0,0000110000000,466
0,0,0,0,1,0,0,0,0,0,1,0,1,0000100000101,451
0,0,0,1,0,0,1,0,0,0,0,0,0,0001001000000,449
0,0,0,0,1,0,0,0,0,0,0,0,0,0000100000000,447
0,0,0,0,1,0,0,0,0,1,0,0,0,0000100001000,432
0,0,0,0,0,0,1,0,1,0,1,0,0,0000001010100,429
0,0,1,0,1,0,0,1,1,0,1,1,1,0010100110111,423
1,0,0,0,1,0,0,0,0,0,1,0,0,1000100000100,422
0,0,0,0,0,1,0,1,0,0,0,0,0,0000010100000,418
0,1,0,0,0,0,0,1,1,0,1,0,1,0100000110101,415
0,0,0,0,0,1,0,1,0,1,0,0,0,0000010101000,415
0,0,0,0,1,0,1,1,0,0,1,0,0,0000101100100,412
0,0,0,1,1,0,0,1,1,0,1,1,1,0001100110111,411
0,0,1,0,0,0,0,1,0,0,1,0,0,0010000100100,397
1,1,0,0,0,0,0,1,1,0,1,1,1,1100000110111,396
1,0,0,0,0,0,0,1,0,0,1,0,1,1000000100101,390
1,0,0,1,0,0,1,0,0,0,1,0,0,1001001000100,385
0,1,0,0,1,0,0,1,0,0,1,0,1,0100100100101,384
0,0,0,0,0,0,1,0,0,0,1,1,1,0000001000111,383
0,0,0,0,0,0,1,0,1,0,1,0,1,0000001010101,381
0,0,1,0,1,0,0,1,0,0,1,1,1,0010100100111,378
0,1,0,1,0,0,1,0,0,0,1,0,0,0101001000100,375
1,0,0,0,0,0,0,0,0,0,1,1,1,1000000000111,374
0,0,0,1,0,0,0,1,1,0,1,1,1,0001000110111,373
0,1,0,0,0,0,0,0,0,1,1,0,0,0100000001100,373
0,0,1,0,0,0,0,0,0,0,1,0,0,0010000000100,371
1,1,0,0,0,0,1,0,0,0,1,0,0,1100001000100,360
0,0,0,0,0,0,0,1,0,0,1,1,0,0000000100110,351
0,0,0,0,0,0,1,1,0,1,1,0,0,0000001101100,351
0,1,0,0,0,0,1,1,0,1,0,0,0,0100001101000,346
0,1,0,0,0,0,0,1,0,1,1,0,0,0100000101100,346
0,0,0,1,1,0,0,1,0,0,1,1,1,0001100100111,346
0,1,0,0,0,0,1,0,0,1,0,0,0,0100001001000,332
0,1,0,0,1,0,0,1,0,1,0,0,0,0100100101000,328
0,0,0,0,0,0,1,1,0,0,1,1,1,0000001100111,328
0,0,0,0,0,0,0,1,0,0,0,0,0,0000000100000,312
0,1,0,1,0,0,0,0,0,0,1,0,0,0101000000100,305
